Entity,Code,Year,Annual area burnt by wildfires
Saint Kitts and Nevis,KNA,2020,170
Saint Lucia,LCA,2020,177
Saint Martin (French part),MAF,2020,0
Saint Pierre and Miquelon,SPM,2020,0
Saint Vincent and the Grenadines,VCT,2020,245
Samoa,WSM,2020,0
San Marino,SMR,2020,0
Sao Tome and Principe,STP,2020,675
Saudi Arabia,SAU,2020,7012
Senegal,SEN,2020,2558083
Serbia,SRB,2020,28824
Seychelles,SYC,2020,0
Sierra Leone,SLE,2020,1967039
Singapore,SGP,2020,0
Sint Maarten (Dutch part),SXM,2020,0
Slovakia,SVK,2020,652
Slovenia,SVN,2020,0
Solomon Islands,SLB,2020,2398
Somalia,SOM,2020,15796
South Africa,ZAF,2020,3106020
South America,,2020,74289336
South Georgia and the South Sandwich Islands,SGS,2020,0
South Korea,KOR,2020,7869
South Sudan,SSD,2020,23057318
Spain,ESP,2020,105354
Sri Lanka,LKA,2020,33378
Sudan,SDN,2020,4994049
Suriname,SUR,2020,43041
Svalbard and Jan Mayen,SJM,2020,0
Sweden,SWE,2020,16117
Switzerland,CHE,2020,160
Syria,SYR,2020,224986
Taiwan,TWN,2020,1326
Tajikistan,TJK,2020,5581
Tanzania,TZA,2020,10216640
Thailand,THA,2020,3927651
Togo,TGO,2020,758559
Tokelau,TKL,2020,0
Tonga,TON,2020,0
Trinidad and Tobago,TTO,2020,8161
Tunisia,TUN,2020,27362
Turkey,TUR,2020,395765
Turkmenistan,TKM,2020,139585
Turks and Caicos Islands,TCA,2020,239
Tuvalu,TUV,2020,0
Uganda,UGA,2020,1989324
Ukraine,UKR,2020,1103696
United Arab Emirates,ARE,2020,525
United Kingdom,GBR,2020,13753
United States,USA,2020,7305050
United States Minor Outlying Islands,UMI,2020,0
United States Virgin Islands,VIR,2020,0
Uruguay,URY,2020,76411
Uzbekistan,UZB,2020,104089
Vanuatu,VUT,2020,10819
Vatican,VAT,2020,0
Venezuela,VEN,2020,8002733
Vietnam,VNM,2020,884086
Wallis and Futuna,WLF,2020,0
Western Sahara,ESH,2020,262
World,OWID_WRL,2020,408747400
Yemen,YEM,2020,360
Zambia,ZMB,2020,19424936
Zimbabwe,ZWE,2020,1221719
